ID;Longitud del entorno;Ancho del entorno;Núm_Obstáculos;Núm_hormigas;Iteraciones;Alpha;Beta;Rho;Núm_sub;Longitud_operativa;Longitud no operativa;Longitud total;Número de giros en operación;Número de giros No operación;Número total de giros;Tiempo total
186;100;70;4;100;150;1.0;1.0;0.5;12;1630.06;419.38;2049.44;30;18;48;5.52
34;100;70;2;300;100;1.5;1.5;0.6;7;1627.31;386.95;2014.26;31;11;42;5.37
146;100;70;4;150;150;1.0;1.0;0.9;12;1680.61;480.91;2161.52;36;18;54;6.0
80;100;70;4;200;100;1.5;1.5;0.6;8;1667.41;376.71;2044.12;34;11;45;5.47
66;100;70;3;100;100;1.5;1.5;0.6;8;1569.41;457.24;2026.65;36;14;50;5.64
31;100;70;2;200;100;1.5;1.5;0.6;7;1747.86;347.49;2095.35;32;7;39;5.33
180;100;70;3;10;10;2.0;5.0;0.8;8;1569.41;457.34;2026.75;36;14;50;5.64
7;100;70;1;100;100;1.5;1.5;0.6;4;1697.1;338.04;2035.14;28;7;35;5.03
107;100;70;4;150;150;0.5;1.5;0.6;11;1734.96;441.72;2176.68;34;15;49;5.82
95;100;70;2;100;100;1.0;1.5;0.6;7;1627.31;419.43;2046.74;31;14;45;5.39
189;100;70;4;100;150;0.5;1.5;0.5;9;1694.41;380.24;2074.65;48;12;60;5.66
8;100;70;1;100;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
51;100;70;1;50;400;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
156;100;70;0;50;50;1.0;2.0;0.3;1;1700.0;168.0;1868.0;17;1;18;4.0
35;100;70;2;300;100;1.5;1.5;0.6;7;1749.21;357.62;2106.83;33;10;43;5.49
122;100;70;4;150;150;1.0;1.0;0.6;10;1709.41;457.5;2166.91;36;16;52;5.94
184;100;70;4;100;150;1.0;1.0;0.5;12;1630.16;419.39;2049.55;30;18;48;5.55
125;100;70;4;150;150;1.0;2.0;0.6;8;1572.51;449.71;2022.22;36;11;47;5.54
79;100;70;4;100;100;1.5;1.5;0.6;12;1745.96;457.16;2203.12;37;20;57;6.19
112;100;70;4;150;150;3.0;1.5;0.6;12;1679.06;464.39;2143.45;36;18;54;5.97
59;100;70;2;100;300;1.5;1.5;0.6;7;1627.31;419.43;2046.74;31;13;44;5.39
172;100;70;3;100;200;1.2;4.0;0.7;8;1569.41;457.31;2026.72;36;14;50;5.64
60;100;70;2;100;300;1.5;1.5;0.6;7;1627.31;419.43;2046.74;31;13;44;5.39
93;100;70;2;100;100;0.5;1.5;0.6;7;1627.31;419.43;2046.74;31;13;44;5.39
151;100;70;0;50;50;1.0;1.0;0.5;1;1700.0;168.0;1868.0;17;1;18;4.0
110;100;70;4;150;150;2.0;1.5;0.6;12;1701.56;354.33;2055.89;36;18;54;5.83
77;100;70;3;300;300;1.5;1.5;0.6;8;1569.41;457.34;2026.75;36;14;50;5.64
76;100;70;3;500;100;1.5;1.5;0.6;8;1569.41;457.34;2026.75;36;14;50;5.64
197;100;70;4;50;50;0.5;0.5;0.5;12;1690.56;383.83;2074.39;33;13;46;5.54
19;100;70;1;500;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
11;100;70;1;200;100;1.5;1.5;0.6;4;1684.1;333.04;2017.14;28;6;34;4.87
13;100;70;1;300;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
24;100;70;2;50;100;1.5;1.5;0.6;7;1627.31;419.43;2046.74;31;13;44;5.39
53;100;70;2;100;100;1.5;1.5;0.6;7;1627.31;419.63;2046.94;31;11;42;5.33
158;100;70;0;100;100;2.0;3.0;0.1;1;1700.0;168.0;1868.0;17;1;18;4.0
144;100;70;4;150;150;1.0;1.0;0.7;12;1680.61;480.91;2161.52;36;18;54;6.0
126;100;70;4;150;150;1.0;3.0;0.6;13;1680.51;484.26;2164.77;34;18;52;5.91
154;100;70;0;50;50;1.0;2.0;0.3;1;1701.0;168.0;1869.0;17;1;18;4.0
1;100;70;1;50;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
179;100;70;3;10;10;2.0;5.0;0.8;8;1569.41;457.34;2026.75;36;14;50;5.64
103;100;70;3;100;100;1.0;1.5;0.6;8;1569.41;457.34;2026.75;36;14;50;5.64
