ID,Longitud del entorno,Ancho del entorno,Núm_Obstáculos,Núm_hormigas,Iteraciones,Alpha,Beta,Rho,Núm_sub,Longitud_operativa,Longitud no operativa,Longitud total,Número de giros en operación,Número de giros No operación,Número total de giros,Tiempo total
61,100,70,2,100,300,1.5,1.5,0.6,7,1627.34,419.43,2046.77,31,13,44,5.34
62,100,70,2,100,400,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.49
63,100,70,2,100,400,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
64,100,70,2,100,400,1.5,1.5,0.6,7,1627.38,419.43,2046.81,31,13,44,5.39
65,100,70,2,100,500,1.5,1.5,0.6,7,1626.31,419.43,2045.74,31,13,44,5.39
66,100,70,3,100,100,1.5,1.5,0.6,8,1569.41,457.24,2026.65,36,14,50,5.64
67,100,70,4,100,100,1.5,1.5,0.6,12,1747.51,357.25,2104.76,36,19,55,5.93
68,100,70,4,100,100,1.5,1.5,0.6,12,1679.06,464.59,2143.65,36,19,55,6.01
69,100,70,3,200,100,1.5,1.5,0.6,8,1569.41,457.34,2026.75,36,14,50,5.64
70,100,70,4,300,100,1.5,1.5,0.6,10,1770.46,422.11,2192.57,33,18,51,5.9
71,100,70,3,100,200,1.5,1.5,0.6,8,1569.41,457.34,2026.75,36,14,50,5.64
72,100,70,3,100,300,1.5,1.5,0.6,8,1569.41,457.34,2026.75,36,14,50,5.64
73,100,70,3,200,400,1.5,1.5,0.6,8,1569.41,457.34,2026.75,36,14,50,5.64
74,100,70,3,300,500,1.5,1.5,0.6,8,1569.41,457.34,2026.75,36,14,50,5.64
75,100,70,3,100,500,1.5,1.5,0.6,8,1569.41,457.34,2026.75,36,14,50,5.64
76,100,70,3,500,100,1.5,1.5,0.6,8,1569.41,457.34,2026.75,36,14,50,5.64
77,100,70,3,300,300,1.5,1.5,0.6,8,1569.41,457.34,2026.75,36,14,50,5.64
78,100,70,4,100,100,1.5,1.5,0.6,12,1679.06,487.58,2166.64,36,20,56,6.08
79,100,70,4,100,100,1.5,1.5,0.6,12,1745.96,457.16,2203.12,37,20,57,6.19
80,100,70,4,200,100,1.5,1.5,0.6,8,1667.41,376.71,2044.12,34,11,45,5.47
81,100,70,4,200,100,1.5,1.5,0.6,12,1750.01,338.95,2088.96,36,20,56,5.95
82,100,70,4,300,100,1.5,1.5,0.6,12,1646.69,510.83,2157.52,30,22,52,5.83
83,100,70,4,300,100,1.5,1.5,0.6,10,1741.96,351,2092.96,32,12,44,5.49
84,100,70,4,200,100,1.5,1.5,0.6,12,1679.36,470.44,2149.8,34,18,52,5.88
